,,,ADF Statistic,P - Value,Lag
Close_MTD,INR,BSE Sensex,,,
Close_MTD,INR,Nifty 50,-10.8400545798,1.62457659596e-19,9
Close_MTD,JPY,Nikkei 225,-10.8256200091,1.76003371836e-19,3
Close_MTD,KRW,KOSPI,-8.15266760063,9.60250319752e-13,26
Close_MTD,KRW,KOSPI 50,,,
Close_MTD,LKR,CSE All-Share,-8.3308034043,3.37273321582e-13,23
Close_MTD,MNT,MNE Top 20,,,
Close_MTD,MYR,KLCI,,,
Close_MTD,NZD,NZX 50,-7.04127531925,5.83818170277e-10,20
Close_MTD,NZD,NZX MidCap,-6.98309797942,8.09691824252e-10,20
Close_MTD,PHP,PSEi Composite,,,
Close_MTD,PKR,Karachi 100,-10.4634864892,1.34019672753e-18,1
Close_MTD,SGD,STI Index,,,
Close_MTD,THB,SET,-8.46240580012,1.5545252905e-13,22
Close_MTD,TWD,TPEx 50,,,
Close_MTD,TWD,Taiwan Weighted,,,
Close_MTD,USD,Dow 30,-8.53367087833,1.02157124511e-13,28
Close_MTD,USD,Nasdaq,-10.7883009767,2.16559784896e-19,4
Close_MTD,USD,Nasdaq 100,-10.9877154235,7.18890210264e-20,4
Close_MTD,USD,S&P 500,-8.20636023783,7.00737439956e-13,27
Close_MTD,VND,HNX 30,,,
Close_MTD,VND,VN 30,-12.5096367455,2.69213874601e-23,4
Open_YTD,AUD,S&P/ASX 200,-3.16866507003,0.0218716360026,1
Open_YTD,BDT,DSE 30,,,
Open_YTD,CNY,SZSE Component,,,
Open_YTD,CNY,Shanghai,-3.38114457847,0.0116186936902,23
Open_YTD,HKD,Hang Seng,-3.6050156034,0.00566586097749,2
Open_YTD,IDR,IDX Composite,-3.42684551085,0.0100770514422,3
Open_YTD,INR,BSE Sensex,,,
Open_YTD,INR,Nifty 50,-3.47101383328,0.00876348343945,0
Open_YTD,JPY,Nikkei 225,-3.33808420872,0.0132595995793,0
Open_YTD,KRW,KOSPI,-3.84108931329,0.00251381321001,1
Open_YTD,KRW,KOSPI 50,,,
Open_YTD,LKR,CSE All-Share,-2.79081731161,0.0595974688954,1
Open_YTD,MNT,MNE Top 20,,,
Open_YTD,MYR,KLCI,,,
Open_YTD,NZD,NZX 50,-3.00218510067,0.0346908426381,0
